lon,lat,time,elevation,som,moisture,temp,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12
142.1306099,-36.74486374,1/04/2022,130.0,2.91,22.63,24.04,1038,1328,1832,2050,2082,2299,2436,2536,4046,2890
142.1306458,-36.74487663,1/04/2022,130.0,2.86,22.15,23.64,1038,1328,1832,2050,2082,2299,2436,2536,4046,2890
142.1306776,-36.74487781,1/04/2022,129.9,2.775,26.02,23.38,1066,1372,1880,2071,2117,2255,2510,2569,4100,2876
142.1307019,-36.74487082,1/04/2022,130.0,2.635,27.7,23.76,1066,1372,1880,2071,2117,2255,2510,2569,4100,2876
142.1307244,-36.74486163,1/04/2022,129.9,2.615,29.88,24.06,1066,1372,1880,2071,2117,2255,2510,2569,4100,2876
142.1307487,-36.74485154,1/04/2022,129.9,2.655,31.6,24.61,1066,1372,1880,2071,2117,2255,2510,2569,4100,2876
142.1307641,-36.74483769,1/04/2022,129.9,2.695,32.3,24.67,1066,1372,1880,2071,2117,2255,2510,2569,4100,2876
142.1307851,-36.74482393,1/04/2022,129.9,2.735,32.65,24.78,1066,1372,1880,2071,2117,2255,2510,2569,4100,2876
142.1307994,-36.744808,1/04/2022,129.9,2.755,32.88,25.32,1018,1340,1824,2138,2171,2360,2472,2651,4067,2833
142.1308118,-36.74479116,1/04/2022,129.9,2.76,33.5,24.82,1018,1340,1824,2138,2171,2360,2472,2651,4067,2833
142.1308227,-36.7447736,1/04/2022,129.9,2.75,34.8,25.13,1018,1340,1824,2138,2171,2360,2472,2651,4067,2833
142.1308311,-36.74475553,1/04/2022,130.0,2.69,35.2,24.93,1018,1340,1824,2138,2171,2360,2472,2651,4067,2833
142.1308419,-36.74473589,1/04/2022,130.0,2.705,35.8,25.11,1018,1340,1824,2138,2171,2360,2472,2651,4067,2833
142.1308515,-36.74471465,1/04/2022,130.0,2.75,35.02,25.22,1082,1422,1890,2138,2171,2360,2536,2651,4067,2833
142.1308575,-36.74469258,1/04/2022,130.0,2.81,35.55,25.18,1082,1422,1890,2138,2171,2360,2536,2651,4067,2833
142.1308612,-36.74466884,1/04/2022,130.1,2.845,35.52,25.18,1082,1422,1890,2138,2171,2360,2536,2651,4067,2833
142.1308545,-36.74465026,1/04/2022,130.2,2.78,35.58,24.82,1082,1422,1890,2138,2171,2360,2536,2651,4067,2833
